id,source_company,city,region,service,params,unit,price,currency,conditions,url,evidence
P33,Фотосфера,Нефтеюганск,ХМАО,фотоколлаж на холсте,—,шт,от 2000,₽,,https://fsfera.ru/uslugi-nefteyugansk/,A
P34,Фотосфера,Нефтеюганск,ХМАО,оформление в багет,любая фоторабота,услуга,от 570,₽,,https://fsfera.ru/uslugi-nefteyugansk/,A
P35,Фотосфера,Нефтеюганск,ХМАО,транспарант,30х45 с ручкой,шт,от 950,₽,к 9 мая,https://fsfera.ru/uslugi-nefteyugansk/,A
P36,Фотосфера,Сургут,ХМАО,фотография на холсте,—,шт,от 2500,₽,,https://fsfera.ru/pechat_foto_standartnyix_formatov-surgut/,C
P37,Фотосфера,Нефтеюганск,ХМАО,печать на футболках,—,шт,от 1750,₽,,https://fsfera.ru/pechat_na_futbolkah-nefteyugansk/,A
P38,Экспресс,Нижневартовск,ХМАО,печать на кружках,1 шт,шт,850,₽,,https://nefteyugansk.express72.ru/product/kruzhki-s-pechatyu/,B
P39,Экспресс,Нижневартовск,ХМАО,печать на кружках,от 15 шт,шт,450,₽,тиражная лестница,https://nefteyugansk.express72.ru/product/kruzhki-s-pechatyu/,B
P40,ОптПолиграф,Нефтеюганск,ХМАО,визитки,односторонние,шт,10.21,₽,"двусторонние 20.83; «от 0.8 ₽» — маркетинг",https://opt-poligraf.ru/nizhnevartovsk/vizitki/,B
P41,Типография Полиграф,Нижневартовск,ХМАО,визитки,100 шт мин.тираж,тираж,700,₽,"из отзыва 2ГИС 4.9★/45",https://2gis.ru/nizhnevartovsk/firm/1689378141246828,B
P42,66print,Нижневартовск,ХМАО,листовки А6 4+0,5000 шт,тираж,4800,₽,,https://njv.66print.ru/,C
P43,66print,Нижневартовск,ХМАО,листовки Евро 4+0,5000 шт,тираж,5600,₽,,https://njv.66print.ru/,C
P44,ОптПолиграф,Нефтеюганск,ХМАО,баннер,440 г/м²,м²,~1036 за размер по выбору,₽,широкоформатная 4+0,https://opt-poligraf.ru/nefteiugansk/pechat-bannerov/,C
P45,ОптПолиграф,Нефтеюганск,ХМАО,футболки,на груди до А4,шт,1200→984,₽,тираж 1→N,https://opt-poligraf.ru/nefteiugansk/pechat-na-futbolkah/,B
P46,Атмосфера,Сургут/НфЮ,ХМАО,баннерная реклама,от,м²,от 125,₽,прайс «услуги»,https://www.tel86.ru/,A
P47,Атмосфера,Сургут/НфЮ,ХМАО,широкоформатная печать,баннер/пленка/сетка/бэклит/бумага/флаги,м²,от 135,₽,,https://www.tel86.ru/,A
P48,Атмосфера,Сургут/НфЮ,ХМАО,изготовление табличек,от,шт,от 300,₽,ПВХ/акрил/АКП (материал из Avito-сниппета),https://www.tel86.ru/,A
P49,Атмосфера,Сургут/НфЮ,ХМАО,объемные буквы,от,шт,от 58,₽,металл от 130 ₽,https://www.tel86.ru/,A
P50,Атмосфера,Сургут/НфЮ,ХМАО,рекламные вывески,несветовые/световые,шт,от 1400,₽,,https://www.tel86.ru/,A
P51,Атмосфера,Сургут/НфЮ,ХМАО,светодиодные вывески,от,шт,от 7300,₽,,https://www.tel86.ru/,A
P52,Атмосфера,Сургут/НфЮ,ХМАО,световые короба,от,шт,от 8000,₽,,https://www.tel86.ru/,A
P53,Атмосфера,Сургут/НфЮ,ХМАО,крышные установки,от,шт,от 12400,₽,,https://www.tel86.ru/,A
P54,Атмосфера,Сургут/НфЮ,ХМАО,штендеры,от,шт,от 4500,₽,,https://www.tel86.ru/,A
P55,Атмосфера,Сургут/НфЮ,ХМАО,тактильные таблички,от,шт,от 1200,₽,,https://www.tel86.ru/,A
P56,Атмосфера,Сургут/НфЮ,ХМАО,информационные стенды,от,шт,от 1200,₽,,https://www.tel86.ru/,A
P57,Атмосфера,Сургут/НфЮ,ХМАО,информационные указатели,от,шт,от 750,₽,,https://www.tel86.ru/,A
P58,Атмосфера,Сургут/НфЮ,ХМАО,оклейка транспорта,наклейка на борт,услуга,от 850,₽,,https://www.tel86.ru/,A
P59,Атмосфера,Сургут/НфЮ,ХМАО,монтаж рекламы,любой сложности,услуга,от 1200,₽,,https://www.tel86.ru/,A
P60,Атмосфера,Сургут/НфЮ,ХМАО,согласование рекламы,пакет документов,услуга,от 1500,₽,,https://www.tel86.ru/,A
P61,Атмосфера,Сургут/НфЮ,ХМАО,печати и штампы,клише d40mm,шт,500–1500,₽,"новое/дизайнерское",https://www.tel86.ru/shtempelnaya-produktsiya.html,A
P62,Атмосфера,Сургут/НфЮ,ХМАО,дизайн рекламы,от,услуга,от 6450,₽,,https://www.tel86.ru/,A
P63,ФотоДок,Югорск/Советский,ХМАО,отправка 1 фото по e-mail,—,шт,50,₽,,https://salon-photodoc868.orgs.biz/product/87324,C
P64,ОптПолиграф,Нижневартовск,ХМАО,визитки,«от»,шт,от 0.8,₽,заявленная нижняя граница (маркетинг),https://opt-poligraf.ru/nizhnevartovsk/vizitki/,C
P65,Мир Фото,Ханты-Мансийск,ХМАО,печать фото 10х15,из отзыва,шт,25,₽,"«10 штук, одно фото за 25 руб»",https://2gis.ru/kh_mansiysk/firm/70000001023818731,B
P66,Avito Югорск,Югорск,ХМАО,печать документов А4,чб/цвет,лист,цены в объявлении,₽,"«Распечатка текстов, документов, рефератов, курсовых и дипломных работ»",https://www.avito.ru/yugorsk/predlozheniya_uslug/,C
P67,Яндекс.Услуги,Нягань,ХМАО,копировальные работы,от,шт,от 10,₽,,https://uslugi.yandex.ru/11186-nyagan/category,C
P68,Копицентры РФ (референс),Москва/СПб,РФ,переплёт пружина А4,металл/пластик,шт,130–150,₽,"твёрдый переплёт 800–1450 ₽",https://almaprint.ru/services/fwork,B
P69,Копицентры РФ (референс),Москва/СПб,РФ,фото на документы 3х4,блок 6-8 шт,пакет,200–350,₽,"«200 рублей должен стоить комплект из 6-8 шт»",https://otvet.mail.ru/question/191507792,B
P70,Q&A (ответы пользователей),Россия,РФ,фотопечать А3/А2,—,шт,600,₽,"из ответа: «формат А3/А2 мне обошёлс€ 600 р/шт»",https://otvet.mail.ru/question/226890050,C
P71,Фотосфера,Нефтеюганск,ХМАО,фото на документы,"пакет «Стандартный», 3,5х4,5 — 4 шт (или 3х4 — 6 шт)",пакет,800,₽,проход 2026-09-14 (вторая эпоха цен; ранее «от 650» P29),https://fsfera.ru/foto_na_dokumentyi-nefteyugansk/,A
P72,Фотосфера,Нефтеюганск,ХМАО,фото на документы,"«Расширенный», 3,5х4,5 — 6 шт (или 3х4 — 9 шт)",пакет,860,₽,,https://fsfera.ru/foto_na_dokumentyi-nefteyugansk/,A
P73,Фотосфера,Нефтеюганск,ХМАО,«Стандартный» + ретушь,"3,5х4,5 — 4 шт",пакет,1000,₽,,https://fsfera.ru/foto_na_dokumentyi-nefteyugansk/,A
P74,Фотосфера,Нефтеюганск,ХМАО,ретушь фото,—,услуга,200,₽,,https://fsfera.ru/foto_na_dokumentyi-nefteyugansk/,A
P75,Фотосфера,Нефтеюганск,ХМАО,подстановка костюма,—,услуга,300,₽,,https://fsfera.ru/foto_na_dokumentyi-nefteyugansk/,A
P76,Фотосфера,Нефтеюганск,ХМАО,сканирование оригинала / отправка на эл.почту,—,шт,80 / 60,₽,,https://fsfera.ru/foto_na_dokumentyi-nefteyugansk/,A
P77,РПК Наружная реклама (RA86),Сургут,ХМАО,баннер Корея 440 г,"360/540/720 dpi; 1–20 м² / 21–100 м²",м²,300–380 / 250–310,₽,собственное производство; монтаж по ХМАО,https://ra86.ru/print,A
P78,РПК Наружная реклама (RA86),Сургут,ХМАО,баннер Европа 520 г (литой),"360/540/720 dpi",м²,600–670 / 540–610,₽,,https://ra86.ru/print,A
P79,РПК Наружная реклама (RA86),Сургут,ХМАО,бумага рулонная,"360/540/720 dpi",м²,240–330 / 190–260,₽,,https://ra86.ru/print,A
P80,РПК Наружная реклама (RA86),Сургут,ХМАО,самоклеящаяся плёнка (мат/глянец/прозрачная),"360/540/720 dpi; одна строка на все виды",м²,310–405 / 260–325,₽,дифференциации по виду плёнки в источнике нет,https://ra86.ru/print,A
P81,РПК Наружная реклама (RA86),Сургут,ХМАО,баннерная сетка Корея,"360/540/720 dpi",м²,350–415 / 300–345,₽,,https://ra86.ru/print,A
P82,ОптПолиграф,Нефтеюганск,ХМАО,баннер 440 г,"540 dpi / 720–1440 dpi; с проклейкой+люверсами 1253/1319",м²,1036 / 1102,₽,модель «печать+материал» в розницу,https://opt-poligraf.ru/nefteiugansk/pechat-bannerov/,A
P83,ФотоОтель,Нефтеюганск,ХМАО,визитка 4+0 / 4+4,цена за шт при минимальном тираже,шт,6 / 7.6,₽,,https://photohotel.ru/nefteyugansk/souvenir/vizitki,A
P84,Атмосфера (tel86),Сургут/НфЮ,ХМАО,монтаж баннера,Сургут и по ХМАО,пог.м,от 150,₽,,https://www.tel86.ru/vidy-naruzhnoj-reklamy/72-bannernaya-reklama.html,A
P85,Атмосфера (tel86),Сургут/НфЮ,ХМАО,объёмные световые буквы,от,см высоты,от 50,₽,плоские несветовые от 58 ₽/шт (P49),https://www.tel86.ru/vidy-naruzhnoj-reklamy/69-ob-emnye-svetovye-bukvy.html,A
P86,Reklama-sever,Сургут,ХМАО,монтаж баннера с пристреливанием / демонтаж,демонтаж = 50% от монтажа,м²,от 200 / 50%,₽,структура подтверждена wowbanner (РФ),https://reklama-sever.ru/montaj-bannerov,B
P87,Alpateks,Сургут,ХМАО,выезд на замер,бесплатно при заказе,услуга,0,₽,,https://surgut.alpateks.ru/montazh-naruzhnoj-reklamyi,C
P88,Ra-bukva,Сургут,ХМАО,таблички на пластике ПВХ,с печатью,м²,~3500,₽,одна компания (C),https://ra-bukva.com/products/tablichki-na-plastike,C
P89,S-COPY (шаблон сети),Нефтеюганск,ХМАО,печать чертежей ч/б А3 / цвет А3,ф-т; заливка >25% коэф.2 >50% коэф.3,шт,от 4 / от 10,₽,федеральный шаблонный лендинг — физическое производство в НфЮ не доказано,https://nefteyugansk.s-copy.ru/pechat-chertezhej/pechat-chertezhej-a3/,C
P90,S-COPY (шаблон сети),Нефтеюганск,ХМАО,брошюровка А3 пружина+обложка / фальцовка А2-А0→А4 / запись на диск,от,шт,150 / 10 / 40,₽,там же,https://nefteyugansk.s-copy.ru/pechat-chertezhej/pechat-chertezhej-a3/,C
P91,RK-COPY (шаблон сети),Нефтеюганск,ХМАО,брошюровка пружина 6–8 мм / 14–25 мм,А4/А3,шт,40/60 → 100/120,₽,сниппет (страница по прямому запросу не открылась),https://nefteyugansk.rkcopy.ru/service/pechat-proektov/,C
P92,dt72 (РФ),Россия,РФ,разработка логотипа / фирменный стиль,студийный уровень,услуга,12500 / 29500,₽,,https://dt72.ru/design,C
P93,Яндекс.Услуги,Сургут,ХМАО,дизайн логотипа,фриланс-нижняя граница,услуга,от 3000,₽,,https://uslugi.yandex.ru/973-surgut/category/dizajneryi/graficheskij-dizajner--241,B
P94,Lanart (РФ),Россия,РФ,верстка брошюры/каталога за полосу,от,полоса,300–1500,₽,стандарт 450 ₽/полоса (prtsc78),https://lanart.ru/print/prices/,B
P95,WowBanner (РФ),Россия,РФ,отрисовка векторного контура для плоттерной резки,от,услуга,от 500,₽,прямой аналог «макет под плоттерную резку»,https://wowbanner.ru/uslugi-dizaynera,B
P96,Set-W (РФ),Россия,РФ,ризография А4,мин. тираж 100 листов; запуск + лист,лист,от 3,₽,локально в ХМАО ризограф не найден (E),https://set-w.ru/rizo,B
P97,Точка Печати,Нефтеюганск,ХМАО,цветная распечатка документов,А4 80гр,шт,35,₽,реп-карта представителя (проход 2),https://yandex.ru/maps/org/tochka_pechati/205080785853/prices/,A
P98,Точка Печати,Нефтеюганск,ХМАО,фото на документы,"комплект 4 шт (3х4/3,5х4,5/4х6/4х5/5х6)",пакет,450,₽,реп-карта представителя,https://yandex.ru/maps/org/tochka_pechati/205080785853/prices/,A
P99,Точка Печати,Нефтеюганск,ХМАО,печать на кружке,классическая белая,шт,500,₽,реп-карта представителя,https://yandex.ru/maps/org/tochka_pechati/205080785853/prices/,A
P100,Копик (2ГИС),Сургут,ХМАО,цветная печать А4 / А3 чб,—,шт,40 / 20,₽,сниппет прайса 2ГИС,https://2gis.ru/surgut/firm/70000001054235033/tab/prices,B
P101,Quality (2ГИС),Сургут,ХМАО,печать чб А4 / цвет А4,цвет 15–40 ₽,шт,10 / 15–40,₽,сниппет прайса 2ГИС,https://2gis.ru/surgut/firm/5489290326939207/tab/prices,B
P102,ЦветоПрофиль (2ГИС),Сургут,ХМАО,чб А4 / цвет А4 / А3 чб,от,шт,10 / 35 / 20,₽,сниппет прайса 2ГИС,https://2gis.ru/surgut/firm/70000001092879361/tab/prices,B
P103,Универ (2ГИС),Сургут,ХМАО,чб / цвет / твёрдый переплёт диплома / скан,—,шт,12 / 80 / 500 / 20,₽,сниппет прайса 2ГИС,https://2gis.ru/surgut/firm/70000001061226339/tab/prices,B
P104,А3 Копицентр (2ГИС),Сургут,ХМАО,цветная распечатка / фото А4 на фотобумаге,—,шт,40–55 / 90–100,₽,сниппет прайса 2ГИС,https://2gis.ru/surgut/firm/5489290326836188/tab/prices,B
P105,Центр печати,Тюмень,Тюм.обл.,печать/копия А4 чб,"лестница до 50 / 50–100 / 100–200 / 200+ стр",шт,10→7,₽,реп-карта представителя (L3 каскада),https://yandex.ru/maps/org/tsentr_pechati/183437211442/prices/,A
P106,Центр печати,Тюмень,Тюм.обл.,печать/копия А4 цвет,"лестница до 50 / 50–100 / 100–300 / 300+ стр",шт,40→20,₽,там же,https://yandex.ru/maps/org/tsentr_pechati/183437211442/prices/,A
P107,Центр печати,Тюмень,Тюм.обл.,печать/копия А3 чб / А3 цвет,лестница,шт,35→18 / 60→42,₽,там же,https://yandex.ru/maps/org/tsentr_pechati/183437211442/prices/,A
P108,Центр печати,Тюмень,Тюм.обл.,сканирование А4 / А3 / фото,—,шт,20 / 40 / 50,₽,там же,https://yandex.ru/maps/org/tsentr_pechati/183437211442/prices/,A
P109,Центр печати,Тюмень,Тюм.обл.,ламинация А4 / А3,—,шт,60 / 110,₽,там же,https://yandex.ru/maps/org/tsentr_pechati/183437211442/prices/,A
P110,Центр печати,Тюмень,Тюм.обл.,переплёт на пружину,"до 50 / 50–100 / 100–180 / 180–250 стр",шт,120–300,₽,там же,https://yandex.ru/maps/org/tsentr_pechati/183437211442/prices/,A
P111,Центр печати,Тюмень,Тюм.обл.,сертификат А6 1+0 / 1+1; грамота А4,визитки от 50 шт 8–9 ₽; листовка А6 12–16 ₽,шт,25 / 35 / 80,₽,там же,https://yandex.ru/maps/org/tsentr_pechati/183437211442/prices/,A
P112,Центр печати,Тюмень,Тюм.обл.,восстановление фото / фото на паспорт,единочный тариф,услуга,2000 / 500,₽,там же,https://yandex.ru/maps/org/tsentr_pechati/183437211442/prices/,A
P113,Центр печати,Тюмень,Тюм.обл.,фото 10х15–30х40 (цифра) / лаборатория,две технологии,шт,25–150 / 30–310,₽,там же,https://yandex.ru/maps/org/tsentr_pechati/183437211442/prices/,A
P114,Типография АЛЬФА (Avito),Сургут,ХМАО,переплёт диплома твёрдый,объявление; курсовые дешевле,шт,600,₽,сниппет,https://www.avito.ru/surgut/predlozheniya_uslug/pereplet_diplomov_bez_ocheredi_-_2_minuty_359279342,C
P115,Reglet (РФ),Россия,РФ,набор текста,несрочный; скидка по объёму,стр,290–390,₽,,https://www.reglet.ru/price-list/,C
P116,Londonprint (РФ),Россия,РФ,крафтовый пакет с печатью,"горизонт 35х44,5х18; тираж 150",шт,~29,₽,без печати от 5–30 ₽/шт (korsaj),https://londonprint.ru/produktsiya/pakety/pakety-kraftovye/,C
P117,Inari (РФ),Россия,РФ,георгиевская лента 30 см,розница баз,шт,11,₽,"опт-нарезка 5,5–7,8 ₽ (9may.shop; tsn-print); маркет-ап 133 ₽ (raduga)",https://inari.pro/catalog/products/lentochka-georgievskaya/1101,C
P118,Raspechatka (РФ),Россия,РФ,ламинация широкая А2 / А1 / А0,горячая рулонная,шт,750 / 990 / 1550,₽,,https://raspechatka.com/ceny,C
